serviceType,vehicleMake,vehicleModel,vehicleYear,dayOfWeek,durationMinutes
General Inspection,Hyundai,Verna,2026,MONDAY,42
Wheel Alignment,Tata,Harrier,2010,TUESDAY,61
Brake Service,Toyota,Innova,2022,SUNDAY,64
Engine Service,Hyundai,Venue,2011,TUESDAY,104
Wheel Alignment,Maruti Suzuki,Swift,2025,TUESDAY,50
Brake Service,Honda,Elevate,2016,FRIDAY,79
Diagnostics,Toyota,Innova,2010,SATURDAY,71
Oil Change,Mahindra,XUV700,2016,TUESDAY,35
Diagnostics,Kia,Seltos,2011,MONDAY,73
Battery Replacement,Hyundai,Venue,2026,FRIDAY,35
Battery Replacement,Kia,Seltos,2009,WEDNESDAY,36
Oil Change,Mahindra,XUV700,2015,SATURDAY,44
General Inspection,Mahindra,Bolero,2021,FRIDAY,44
Tire Replacement,Tata,Altroz,2021,MONDAY,37
Battery Replacement,Mahindra,Scorpio,2015,WEDNESDAY,43
AC Repair,Hyundai,Verna,2015,TUESDAY,88
Diagnostics,Mahindra,Scorpio,2015,TUESDAY,66
Brake Service,Toyota,Innova,2016,WEDNESDAY,68
Engine Service,Kia,Sonet,2008,MONDAY,111
Transmission Service,Toyota,Innova,2011,FRIDAY,142
AC Repair,Mahindra,Bolero,2018,THURSDAY,70
AC Repair,Honda,Amaze,2009,SATURDAY,90
AC Repair,Hyundai,Creta,2019,THURSDAY,85
Brake Service,Mahindra,Bolero,2011,SATURDAY,85
Wheel Alignment,Toyota,Fortuner,2021,WEDNESDAY,50
Battery Replacement,Honda,Amaze,2020,SATURDAY,45
Battery Replacement,Toyota,Glanza,2025,SUNDAY,42
AC Repair,Mahindra,Scorpio,2022,THURSDAY,73
Tire Replacement,Ford,EcoSport,2010,WEDNESDAY,47
Brake Service,Maruti Suzuki,Baleno,2017,TUESDAY,66
Tire Replacement,Tata,Nexon,2009,TUESDAY,59
General Inspection,Ford,Figo,2026,TUESDAY,39
AC Repair,Ford,Figo,2015,TUESDAY,79
General Inspection,Kia,Seltos,2013,SUNDAY,51
Engine Service,Ford,EcoSport,2025,TUESDAY,95
Battery Replacement,Ford,Figo,2022,FRIDAY,38
Engine Service,Kia,Sonet,2013,SATURDAY,126
Tire Replacement,Toyota,Fortuner,2023,SATURDAY,50
Tire Replacement,Toyota,Glanza,2010,SATURDAY,60
Brake Service,Maruti Suzuki,Baleno,2012,TUESDAY,75
AC Repair,Tata,Altroz,2010,THURSDAY,75
AC Repair,Hyundai,Creta,2021,THURSDAY,79
Transmission Service,Hyundai,Verna,2023,MONDAY,134
AC Repair,Kia,Seltos,2023,TUESDAY,70
Wheel Alignment,Kia,Sonet,2008,THURSDAY,55
AC Repair,Tata,Punch,2012,FRIDAY,95
Engine Service,Hyundai,Verna,2026,FRIDAY,93
AC Repair,Tata,Punch,2013,MONDAY,78
Wheel Alignment,Kia,Sonet,2014,THURSDAY,53
AC Repair,Toyota,Glanza,2016,SUNDAY,97
General Inspection,Ford,EcoSport,2025,MONDAY,44
General Inspection,Hyundai,i20,2015,TUESDAY,45
Oil Change,Tata,Altroz,2012,THURSDAY,33
Tire Replacement,Ford,Figo,2019,TUESDAY,44
Transmission Service,Maruti Suzuki,Baleno,2017,MONDAY,109
Transmission Service,Kia,Sonet,2014,MONDAY,124
Transmission Service,Honda,City,2017,SUNDAY,138
Transmission Service,Hyundai,Venue,2025,THURSDAY,102
Brake Service,Maruti Suzuki,Ertiga,2008,SUNDAY,72
AC Repair,Mahindra,Bolero,2022,SATURDAY,88
Battery Replacement,Kia,Seltos,2024,SATURDAY,40
Engine Service,Ford,Figo,2021,SUNDAY,121
Transmission Service,Toyota,Glanza,2015,SUNDAY,158
Diagnostics,Honda,Amaze,2026,FRIDAY,56
AC Repair,Mahindra,XUV700,2023,SUNDAY,76
Brake Service,Toyota,Glanza,2016,FRIDAY,77
Wheel Alignment,Hyundai,Creta,2010,TUESDAY,58
Tire Replacement,Ford,Figo,2022,SUNDAY,47
Oil Change,Maruti Suzuki,Ertiga,2015,THURSDAY,33
Transmission Service,Mahindra,Scorpio,2025,FRIDAY,118
Brake Service,Kia,Sonet,2019,SATURDAY,70
Tire Replacement,Maruti Suzuki,Baleno,2018,MONDAY,50
Engine Service,Tata,Altroz,2014,SATURDAY,104
Engine Service,Toyota,Innova,2014,WEDNESDAY,104
Tire Replacement,Mahindra,XUV700,2017,MONDAY,49
Oil Change,Hyundai,Venue,2012,SATURDAY,39
Diagnostics,Maruti Suzuki,Swift,2026,WEDNESDAY,49
Battery Replacement,Hyundai,Venue,2023,MONDAY,37
General Inspection,Kia,Sonet,2010,FRIDAY,49
Battery Replacement,Toyota,Innova,2015,MONDAY,39
Engine Service,Kia,Seltos,2024,THURSDAY,83
Transmission Service,Kia,Sonet,2026,FRIDAY,130
Oil Change,Maruti Suzuki,Baleno,2014,WEDNESDAY,33
Battery Replacement,Maruti Suzuki,Baleno,2008,THURSDAY,40
Diagnostics,Ford,Figo,2009,TUESDAY,64
Diagnostics,Maruti Suzuki,Baleno,2016,SUNDAY,72
Transmission Service,Honda,Amaze,2011,FRIDAY,150
Wheel Alignment,Tata,Nexon,2009,TUESDAY,62
Wheel Alignment,Toyota,Glanza,2011,THURSDAY,56
Wheel Alignment,Ford,Figo,2010,FRIDAY,55
Oil Change,Kia,Sonet,2016,MONDAY,40
Transmission Service,Hyundai,Venue,2026,MONDAY,137
Battery Replacement,Ford,Figo,2016,TUESDAY,43
Diagnostics,Maruti Suzuki,Brezza,2019,THURSDAY,60
Brake Service,Mahindra,Bolero,2011,SUNDAY,81
Diagnostics,Toyota,Fortuner,2020,SUNDAY,70
Engine Service,Hyundai,Verna,2010,WEDNESDAY,106
AC Repair,Hyundai,Verna,2021,MONDAY,78
Tire Replacement,Mahindra,Bolero,2023,SATURDAY,52
Wheel Alignment,Tata,Harrier,2022,SATURDAY,61
Diagnostics,Maruti Suzuki,Swift,2015,SATURDAY,75
Engine Service,Kia,Seltos,2015,SUNDAY,122
General Inspection,Ford,EcoSport,2012,THURSDAY,50
Wheel Alignment,Kia,Sonet,2023,TUESDAY,50
Diagnostics,Tata,Punch,2014,FRIDAY,55
General Inspection,Toyota,Glanza,2018,SUNDAY,48
Engine Service,Toyota,Innova,2017,SATURDAY,111
Diagnostics,Tata,Punch,2025,THURSDAY,63
Brake Service,Mahindra,Bolero,2025,THURSDAY,56
Tire Replacement,Honda,Elevate,2020,TUESDAY,49
AC Repair,Hyundai,Venue,2023,SATURDAY,89
Battery Replacement,Ford,EcoSport,2012,FRIDAY,41
Transmission Service,Mahindra,XUV700,2022,MONDAY,113
Battery Replacement,Kia,Seltos,2010,THURSDAY,41
Wheel Alignment,Mahindra,Bolero,2020,SATURDAY,66
Engine Service,Kia,Sonet,2023,SUNDAY,106
Engine Service,Hyundai,i20,2015,SATURDAY,114
Tire Replacement,Maruti Suzuki,Brezza,2011,SUNDAY,55
General Inspection,Ford,EcoSport,2017,MONDAY,51
Wheel Alignment,Mahindra,Scorpio,2021,TUESDAY,56
Tire Replacement,Kia,Seltos,2013,TUESDAY,60
Transmission Service,Honda,Amaze,2026,TUESDAY,132
Tire Replacement,Ford,Figo,2022,WEDNESDAY,42
Diagnostics,Toyota,Fortuner,2025,TUESDAY,45
General Inspection,Ford,Figo,2026,WEDNESDAY,37
Wheel Alignment,Ford,Figo,2014,THURSDAY,53
Diagnostics,Maruti Suzuki,Baleno,2020,FRIDAY,59
Wheel Alignment,Hyundai,Verna,2016,MONDAY,59
Transmission Service,Hyundai,Verna,2017,SUNDAY,151
Brake Service,Honda,Elevate,2014,FRIDAY,64
Wheel Alignment,Tata,Nexon,2009,WEDNESDAY,59
Brake Service,Tata,Nexon,2017,WEDNESDAY,65
AC Repair,Tata,Altroz,2012,SUNDAY,72
Engine Service,Toyota,Innova,2016,SUNDAY,105
Diagnostics,Toyota,Fortuner,2018,SUNDAY,77
Battery Replacement,Honda,Elevate,2020,SUNDAY,47
Engine Service,Mahindra,XUV700,2020,MONDAY,96
Brake Service,Toyota,Fortuner,2020,SUNDAY,74
Brake Service,Maruti Suzuki,Baleno,2023,MONDAY,52
Brake Service,Honda,Elevate,2010,SATURDAY,72
Diagnostics,Toyota,Fortuner,2021,MONDAY,67
Wheel Alignment,Ford,EcoSport,2011,TUESDAY,68
Engine Service,Tata,Punch,2022,WEDNESDAY,87
Engine Service,Kia,Seltos,2021,SATURDAY,97
General Inspection,Ford,Figo,2016,MONDAY,44
Diagnostics,Honda,Amaze,2011,SATURDAY,71
Brake Service,Mahindra,XUV700,2020,WEDNESDAY,65
Diagnostics,Maruti Suzuki,Baleno,2008,MONDAY,68
Brake Service,Honda,City,2026,TUESDAY,69
Tire Replacement,Honda,City,2018,SUNDAY,57
Battery Replacement,Hyundai,Venue,2012,TUESDAY,35
General Inspection,Hyundai,Creta,2008,WEDNESDAY,45
Tire Replacement,Mahindra,XUV700,2013,WEDNESDAY,59
Engine Service,Maruti Suzuki,Swift,2023,THURSDAY,98
Brake Service,Maruti Suzuki,Brezza,2024,TUESDAY,63
Engine Service,Toyota,Glanza,2008,MONDAY,105
Diagnostics,Kia,Sonet,2011,THURSDAY,64
General Inspection,Mahindra,Bolero,2012,MONDAY,43
Battery Replacement,Toyota,Fortuner,2026,FRIDAY,36
Transmission Service,Toyota,Glanza,2024,FRIDAY,118
AC Repair,Maruti Suzuki,Swift,2025,SATURDAY,86
Tire Replacement,Kia,Sonet,2022,THURSDAY,44
AC Repair,Maruti Suzuki,Ertiga,2021,WEDNESDAY,71
Battery Replacement,Ford,EcoSport,2010,SUNDAY,43
General Inspection,Maruti Suzuki,Brezza,2011,SATURDAY,54
Engine Service,Hyundai,Venue,2011,THURSDAY,90
Brake Service,Kia,Seltos,2017,FRIDAY,69
Engine Service,Honda,City,2023,TUESDAY,97
General Inspection,Mahindra,Bolero,2019,MONDAY,44
AC Repair,Hyundai,Venue,2008,TUESDAY,73
Wheel Alignment,Toyota,Glanza,2019,MONDAY,55
AC Repair,Maruti Suzuki,Baleno,2008,MONDAY,86
Engine Service,Honda,Amaze,2021,THURSDAY,91
Brake Service,Maruti Suzuki,Swift,2012,TUESDAY,75
Transmission Service,Hyundai,i20,2016,THURSDAY,127
Diagnostics,Kia,Sonet,2014,SUNDAY,64
Engine Service,Maruti Suzuki,Ertiga,2021,MONDAY,93
Diagnostics,Toyota,Innova,2015,THURSDAY,70
Transmission Service,Hyundai,i20,2014,WEDNESDAY,157
Wheel Alignment,Toyota,Glanza,2011,MONDAY,56
Diagnostics,Kia,Seltos,2012,THURSDAY,60
Engine Service,Mahindra,XUV700,2020,SUNDAY,105
Oil Change,Kia,Seltos,2022,MONDAY,34
Transmission Service,Kia,Sonet,2017,MONDAY,121
AC Repair,Hyundai,Venue,2013,SUNDAY,96
Brake Service,Maruti Suzuki,Brezza,2011,TUESDAY,69
AC Repair,Kia,Seltos,2020,SUNDAY,80
Brake Service,Tata,Nexon,2024,SATURDAY,76
General Inspection,Honda,Amaze,2019,SATURDAY,55
Battery Replacement,Honda,City,2012,WEDNESDAY,40
Tire Replacement,Tata,Altroz,2010,TUESDAY,59
Diagnostics,Ford,Figo,2018,TUESDAY,58
Diagnostics,Maruti Suzuki,Brezza,2022,SATURDAY,65
Oil Change,Mahindra,Bolero,2010,WEDNESDAY,38
Diagnostics,Ford,EcoSport,2009,WEDNESDAY,66
General Inspection,Kia,Sonet,2026,FRIDAY,41
Oil Change,Ford,EcoSport,2018,FRIDAY,33
Oil Change,Ford,EcoSport,2018,SATURDAY,38
General Inspection,Tata,Nexon,2015,SATURDAY,48
Engine Service,Tata,Harrier,2019,WEDNESDAY,101
AC Repair,Kia,Sonet,2009,SUNDAY,87
Brake Service,Maruti Suzuki,Brezza,2017,WEDNESDAY,63
Transmission Service,Tata,Harrier,2010,FRIDAY,135
Wheel Alignment,Kia,Seltos,2010,WEDNESDAY,49
Engine Service,Kia,Sonet,2012,SATURDAY,115
Engine Service,Maruti Suzuki,Brezza,2024,WEDNESDAY,71
Oil Change,Mahindra,Scorpio,2013,TUESDAY,32
Tire Replacement,Honda,City,2012,MONDAY,59
Wheel Alignment,Maruti Suzuki,Swift,2018,SUNDAY,55
Battery Replacement,Tata,Altroz,2013,SATURDAY,43
Diagnostics,Hyundai,Verna,2019,SATURDAY,66
Transmission Service,Toyota,Fortuner,2022,TUESDAY,95
Engine Service,Honda,Amaze,2023,SUNDAY,107
Transmission Service,Ford,Figo,2017,SUNDAY,163
AC Repair,Kia,Seltos,2014,SUNDAY,77
Oil Change,Ford,Figo,2025,MONDAY,27
Engine Service,Maruti Suzuki,Ertiga,2010,SUNDAY,122
Engine Service,Tata,Punch,2010,TUESDAY,115
Diagnostics,Mahindra,XUV700,2021,MONDAY,54
AC Repair,Maruti Suzuki,Ertiga,2015,MONDAY,83
Brake Service,Maruti Suzuki,Ertiga,2012,TUESDAY,83
Diagnostics,Tata,Punch,2022,FRIDAY,63
Oil Change,Maruti Suzuki,Swift,2016,TUESDAY,36
Transmission Service,Kia,Seltos,2017,TUESDAY,120
Wheel Alignment,Maruti Suzuki,Swift,2015,THURSDAY,52
General Inspection,Maruti Suzuki,Brezza,2025,MONDAY,36
Engine Service,Honda,Elevate,2012,WEDNESDAY,94
Tire Replacement,Kia,Seltos,2010,FRIDAY,58
Brake Service,Maruti Suzuki,Swift,2020,SUNDAY,62
Brake Service,Toyota,Fortuner,2008,WEDNESDAY,72
General Inspection,Mahindra,XUV700,2011,SUNDAY,46
Battery Replacement,Hyundai,Venue,2025,WEDNESDAY,33
Battery Replacement,Ford,Figo,2013,SUNDAY,48
Diagnostics,Hyundai,Venue,2014,MONDAY,69
Tire Replacement,Hyundai,Venue,2017,FRIDAY,46
Diagnostics,Toyota,Innova,2014,WEDNESDAY,69
Brake Service,Hyundai,Venue,2016,MONDAY,69
AC Repair,Ford,Figo,2018,TUESDAY,70
Diagnostics,Ford,Figo,2024,WEDNESDAY,59
General Inspection,Kia,Seltos,2025,WEDNESDAY,34
Brake Service,Maruti Suzuki,Swift,2018,SATURDAY,74
AC Repair,Tata,Punch,2019,THURSDAY,83
Oil Change,Mahindra,Bolero,2021,WEDNESDAY,28
Oil Change,Maruti Suzuki,Brezza,2019,FRIDAY,30
Battery Replacement,Hyundai,Creta,2022,MONDAY,38
Brake Service,Mahindra,Scorpio,2026,MONDAY,63
Transmission Service,Tata,Punch,2019,WEDNESDAY,126
Battery Replacement,Mahindra,Scorpio,2018,SATURDAY,45
Wheel Alignment,Honda,City,2008,SATURDAY,70
Engine Service,Maruti Suzuki,Ertiga,2016,SATURDAY,126
Diagnostics,Honda,Elevate,2017,SATURDAY,76
General Inspection,Tata,Nexon,2022,TUESDAY,40
Diagnostics,Maruti Suzuki,Ertiga,2019,SATURDAY,75
Wheel Alignment,Tata,Altroz,2019,FRIDAY,59
Tire Replacement,Maruti Suzuki,Baleno,2012,TUESDAY,53
Engine Service,Mahindra,Scorpio,2025,TUESDAY,89
Transmission Service,Maruti Suzuki,Swift,2017,THURSDAY,152
Engine Service,Kia,Sonet,2026,MONDAY,90
Battery Replacement,Mahindra,Bolero,2010,THURSDAY,37
Battery Replacement,Tata,Altroz,2021,FRIDAY,40
Oil Change,Maruti Suzuki,Baleno,2017,TUESDAY,37
Tire Replacement,Mahindra,Bolero,2017,SUNDAY,64
General Inspection,Toyota,Innova,2025,WEDNESDAY,43
Engine Service,Maruti Suzuki,Baleno,2026,FRIDAY,100
Battery Replacement,Tata,Harrier,2026,MONDAY,35
Oil Change,Toyota,Fortuner,2014,SUNDAY,37
Transmission Service,Kia,Seltos,2023,SATURDAY,126
Wheel Alignment,Ford,EcoSport,2020,WEDNESDAY,52
Diagnostics,Maruti Suzuki,Swift,2013,THURSDAY,58
Brake Service,Tata,Harrier,2018,SATURDAY,79
Brake Service,Kia,Seltos,2019,FRIDAY,63
Diagnostics,Maruti Suzuki,Ertiga,2022,TUESDAY,56
Battery Replacement,Maruti Suzuki,Swift,2017,THURSDAY,41
Battery Replacement,Mahindra,Bolero,2018,TUESDAY,36
Battery Replacement,Ford,Figo,2023,WEDNESDAY,35
AC Repair,Ford,EcoSport,2014,FRIDAY,84
Brake Service,Hyundai,i20,2017,THURSDAY,57
Diagnostics,Toyota,Fortuner,2008,SUNDAY,65
General Inspection,Kia,Seltos,2016,SATURDAY,49
Oil Change,Kia,Seltos,2026,FRIDAY,34
Tire Replacement,Mahindra,Bolero,2017,MONDAY,46
Engine Service,Toyota,Fortuner,2011,TUESDAY,113
General Inspection,Kia,Sonet,2018,FRIDAY,52
Tire Replacement,Kia,Seltos,2009,MONDAY,50
Battery Replacement,Mahindra,Scorpio,2024,THURSDAY,40
Battery Replacement,Mahindra,Bolero,2018,TUESDAY,44
AC Repair,Toyota,Fortuner,2018,FRIDAY,85
Transmission Service,Toyota,Glanza,2008,WEDNESDAY,129
Brake Service,Maruti Suzuki,Brezza,2026,WEDNESDAY,63
Oil Change,Ford,Figo,2026,FRIDAY,27
Tire Replacement,Hyundai,Verna,2013,FRIDAY,50
AC Repair,Tata,Altroz,2009,FRIDAY,80
General Inspection,Honda,City,2022,WEDNESDAY,38
Tire Replacement,Kia,Sonet,2009,SATURDAY,63
Battery Replacement,Honda,Elevate,2018,SATURDAY,41
Battery Replacement,Ford,Figo,2025,WEDNESDAY,36
Wheel Alignment,Ford,EcoSport,2015,WEDNESDAY,53
Wheel Alignment,Toyota,Fortuner,2014,SATURDAY,65
Diagnostics,Mahindra,Scorpio,2019,FRIDAY,72
Wheel Alignment,Toyota,Innova,2026,SATURDAY,54
Engine Service,Kia,Sonet,2019,SUNDAY,110
Wheel Alignment,Maruti Suzuki,Ertiga,2022,SATURDAY,56
Wheel Alignment,Ford,EcoSport,2014,SUNDAY,52
Wheel Alignment,Tata,Nexon,2026,TUESDAY,47
Tire Replacement,Hyundai,Creta,2015,MONDAY,54
Diagnostics,Maruti Suzuki,Baleno,2008,FRIDAY,71
Battery Replacement,Kia,Sonet,2023,SATURDAY,45
Brake Service,Toyota,Fortuner,2009,SUNDAY,93
General Inspection,Honda,Elevate,2009,TUESDAY,41
Oil Change,Kia,Sonet,2013,SATURDAY,43
Wheel Alignment,Hyundai,i20,2017,FRIDAY,49
Brake Service,Toyota,Glanza,2025,FRIDAY,55
Diagnostics,Tata,Punch,2016,TUESDAY,63
Diagnostics,Toyota,Fortuner,2013,MONDAY,59
Brake Service,Toyota,Fortuner,2014,TUESDAY,62
AC Repair,Kia,Sonet,2010,THURSDAY,76
General Inspection,Tata,Altroz,2023,WEDNESDAY,42
AC Repair,Honda,Amaze,2016,WEDNESDAY,78
Wheel Alignment,Hyundai,Venue,2019,SATURDAY,63
Diagnostics,Toyota,Innova,2020,SATURDAY,76
Engine Service,Toyota,Fortuner,2011,SATURDAY,129
Transmission Service,Honda,City,2012,THURSDAY,135
Battery Replacement,Ford,Figo,2021,SATURDAY,39
Engine Service,Honda,City,2010,FRIDAY,108
Diagnostics,Mahindra,XUV700,2026,MONDAY,61
Engine Service,Honda,Elevate,2025,TUESDAY,95
Battery Replacement,Mahindra,Bolero,2022,MONDAY,34
Diagnostics,Maruti Suzuki,Brezza,2009,THURSDAY,57
Battery Replacement,Kia,Sonet,2026,MONDAY,30
Wheel Alignment,Hyundai,Verna,2016,SUNDAY,59
Oil Change,Honda,Elevate,2010,MONDAY,31
Engine Service,Hyundai,i20,2023,MONDAY,100
Wheel Alignment,Kia,Seltos,2012,SUNDAY,59
AC Repair,Mahindra,Scorpio,2022,SUNDAY,72
AC Repair,Kia,Seltos,2025,TUESDAY,67
Battery Replacement,Kia,Seltos,2015,SUNDAY,41
Oil Change,Hyundai,Venue,2022,SATURDAY,36
AC Repair,Honda,City,2022,WEDNESDAY,66
Battery Replacement,Toyota,Innova,2011,MONDAY,43
Oil Change,Honda,City,2010,MONDAY,32
Transmission Service,Hyundai,Verna,2009,TUESDAY,141
Tire Replacement,Honda,City,2012,FRIDAY,51
Wheel Alignment,Honda,Elevate,2026,WEDNESDAY,42
Brake Service,Honda,Amaze,2012,SATURDAY,76
Engine Service,Honda,Amaze,2017,WEDNESDAY,120
Battery Replacement,Kia,Sonet,2009,WEDNESDAY,44
AC Repair,Mahindra,Bolero,2021,THURSDAY,78
Engine Service,Ford,EcoSport,2015,WEDNESDAY,109
Battery Replacement,Ford,EcoSport,2025,THURSDAY,40
Battery Replacement,Kia,Seltos,2016,TUESDAY,38
Brake Service,Maruti Suzuki,Brezza,2019,MONDAY,54
Oil Change,Toyota,Glanza,2009,SUNDAY,38
General Inspection,Honda,Elevate,2025,TUESDAY,32
Brake Service,Toyota,Innova,2014,TUESDAY,70
General Inspection,Ford,EcoSport,2014,THURSDAY,50
Wheel Alignment,Kia,Sonet,2025,SATURDAY,55
Brake Service,Toyota,Glanza,2019,FRIDAY,73
Diagnostics,Mahindra,XUV700,2019,WEDNESDAY,55
AC Repair,Hyundai,Creta,2012,MONDAY,81
Transmission Service,Kia,Sonet,2012,TUESDAY,168
Brake Service,Honda,Amaze,2026,SUNDAY,66
Brake Service,Toyota,Glanza,2023,THURSDAY,70
Battery Replacement,Mahindra,XUV700,2012,SATURDAY,45
Engine Service,Hyundai,i20,2010,SUNDAY,115
Oil Change,Hyundai,Verna,2012,SUNDAY,38
Battery Replacement,Hyundai,Creta,2024,THURSDAY,35
Brake Service,Hyundai,Verna,2023,MONDAY,70
Oil Change,Hyundai,Venue,2025,WEDNESDAY,31
Oil Change,Kia,Seltos,2011,MONDAY,33
Transmission Service,Toyota,Glanza,2016,SUNDAY,146
AC Repair,Maruti Suzuki,Ertiga,2020,THURSDAY,55
Tire Replacement,Toyota,Fortuner,2010,SATURDAY,56
Oil Change,Maruti Suzuki,Brezza,2020,THURSDAY,31
Oil Change,Tata,Nexon,2023,SUNDAY,34
AC Repair,Mahindra,Bolero,2011,FRIDAY,91
Transmission Service,Ford,Figo,2009,MONDAY,137
Wheel Alignment,Hyundai,Creta,2018,MONDAY,61
AC Repair,Maruti Suzuki,Ertiga,2013,FRIDAY,83
Tire Replacement,Kia,Sonet,2020,SUNDAY,53
General Inspection,Mahindra,XUV700,2011,THURSDAY,40
Tire Replacement,Maruti Suzuki,Ertiga,2020,SUNDAY,50
Diagnostics,Ford,EcoSport,2019,FRIDAY,70
AC Repair,Kia,Seltos,2026,SATURDAY,72
Wheel Alignment,Honda,Elevate,2010,MONDAY,65
Wheel Alignment,Tata,Punch,2012,SATURDAY,64
General Inspection,Hyundai,Venue,2022,WEDNESDAY,44
Wheel Alignment,Maruti Suzuki,Baleno,2010,TUESDAY,53
Engine Service,Kia,Seltos,2008,MONDAY,111
Brake Service,Maruti Suzuki,Ertiga,2020,MONDAY,63
General Inspection,Honda,Elevate,2024,TUESDAY,45
AC Repair,Tata,Altroz,2016,WEDNESDAY,78
Battery Replacement,Kia,Sonet,2021,WEDNESDAY,39
Diagnostics,Maruti Suzuki,Ertiga,2016,TUESDAY,60
Transmission Service,Honda,Amaze,2011,TUESDAY,128
Wheel Alignment,Hyundai,Verna,2018,SUNDAY,54
Brake Service,Ford,Figo,2021,SUNDAY,63
Transmission Service,Tata,Harrier,2018,FRIDAY,146
Brake Service,Tata,Punch,2018,WEDNESDAY,64
Diagnostics,Honda,Amaze,2020,WEDNESDAY,61
General Inspection,Honda,Elevate,2025,TUESDAY,37
Engine Service,Hyundai,Verna,2014,THURSDAY,108
General Inspection,Kia,Sonet,2012,SATURDAY,47
Wheel Alignment,Honda,Amaze,2012,SATURDAY,63
Diagnostics,Ford,Figo,2025,FRIDAY,61
AC Repair,Hyundai,Venue,2025,FRIDAY,72
Tire Replacement,Mahindra,XUV700,2009,FRIDAY,54
AC Repair,Mahindra,Scorpio,2011,MONDAY,87
Engine Service,Honda,Amaze,2019,THURSDAY,101
Diagnostics,Tata,Harrier,2008,THURSDAY,69
General Inspection,Maruti Suzuki,Baleno,2019,WEDNESDAY,46
Brake Service,Ford,EcoSport,2024,THURSDAY,60
Diagnostics,Mahindra,XUV700,2017,MONDAY,63
General Inspection,Hyundai,Venue,2011,SATURDAY,57
Tire Replacement,Tata,Altroz,2018,FRIDAY,42
AC Repair,Ford,EcoSport,2020,SATURDAY,90
AC Repair,Kia,Seltos,2014,THURSDAY,89
Transmission Service,Kia,Sonet,2008,SATURDAY,165
General Inspection,Maruti Suzuki,Baleno,2019,WEDNESDAY,47
Tire Replacement,Ford,EcoSport,2016,SATURDAY,62
Brake Service,Kia,Sonet,2026,MONDAY,54
Brake Service,Mahindra,Scorpio,2013,SUNDAY,71
Transmission Service,Maruti Suzuki,Baleno,2018,MONDAY,112
Tire Replacement,Toyota,Innova,2013,WEDNESDAY,50
AC Repair,Tata,Punch,2021,TUESDAY,66
Diagnostics,Tata,Altroz,2023,WEDNESDAY,60
